2020-10-20 19:08:22,b'RT @Jason96483011: Pray for Nigeria\n#EndPoliceBrutalityinNigeraNOW \n#EndBadGoveranceInNigeria\n#Nigeriableeds\n#DonaldTrump \n#GEJ \n#USA https\xe2\x80\xa6'
2020-10-20 19:08:20,"b'Most valuable stocks at 8pm: #BorisJohnson (\xc2\xa31.17), #DonaldTrump (\xc2\xa31.04) and #AndyBurnham (\xc2\xa30.76). \nLargest gain ov\xe2\x80\xa6 https://t.co/zNvetpt28z'"
2020-10-20 19:08:10,"b'Eric Trump\xe2\x80\x99s MAGA Speech at a Gravel Pit in Lansing, Michigan @EricTrump @LaraLeaTrump @MichiganCRs @MIGOPChair\xe2\x80\xa6 https://t.co/3FAnxpEAax'"
2020-10-20 19:08:09,b'@nytimes It is a no brainer. #DonaldTrump has shown ZERO understanding of any major issue and showed gross incompet\xe2\x80\xa6 https://t.co/301cGli04V'
2020-10-20 19:08:06,b'#AlJazeera #FoxNews #bbcnews #DonaldTrump #EmmanuelMacron #BorisJohnson #pastoradeboye #channelstv #sanwoolu \n\nNige\xe2\x80\xa6 https://t.co/csH9HcLBW2'
2020-10-20 19:08:05,b'@GuardianNigeria #worldpower come and look into our country  NIGERIA\nWE NEED HELP #donaldtrump #XiJinping\xe2\x80\xa6 https://t.co/rIzxaCVY3c'
2020-10-20 19:07:50,b'RT @derekjames150: Why are #DonaldTrump and #BorisJohnson disagreeing with  the scientists now? Trump is condemning Fauci and Johnson is ig\xe2\x80\xa6'
2020-10-20 19:07:26,b'[THE TRUTH] Why Liberals and Conservatives Argue :) #Liberal #Conservative #Elections2020 #JoeBiden #DonaldTrump\xe2\x80\xa6 https://t.co/Qbs8TYrcDD'
2020-10-20 19:07:26,"b""RT @ddheruiz: #DonaldTrump complaining about being muted when it's not his turn to speak. Need help? I'll do that job for FREE. #VoteBlueDo\xe2\x80\xa6"""
2020-10-20 19:06:53,"b'@davvydmoore #UnitedNationsHelp ,#DonaldTrump  Nigeria needs your help'"
2020-10-20 19:06:45,b'RT @Jason96483011: Pray for Nigeria\n#EndPoliceBrutalityinNigeraNOW \n#EndBadGoveranceInNigeria\n#Nigeriableeds\n#DonaldTrump \n#GEJ \n#USA https\xe2\x80\xa6'
2020-10-20 19:06:32,"b'RT @derekjames150: Two weeks from today, the American people will vote to evict #DonaldTrump from the White House and reclaim the Senate. I\xe2\x80\xa6'"
2020-10-20 19:06:14,b'@RVAT2020 He\xe2\x80\x99s right. America\xe2\x80\x99s closest allies feel undermined by Trump and his love of dictators like Putin. NATO\xe2\x80\xa6 https://t.co/XaMOu7wsLx'
2020-10-20 19:06:07,b'RT @THEHermanCain: Ben Shapiro was a never-Trumper for a long time but has now announced his support in the 2020 election. #2020election #D\xe2\x80\xa6'
2020-10-20 19:06:02,b'RT @portarican_RT: #DonaldTrump: The WORLD knows u and ur family are the real criminals. In #America the criminals dont get to demand inves\xe2\x80\xa6'
2020-10-20 19:06:01,b'Ben Shapiro was a never-Trumper for a long time but has now announced his support in the 2020 election.\xe2\x80\xa6 https://t.co/UlMEn2Jmy2'
